OutTemp,RoomTemp,HeatState,HeatStateSince,StartTemp
-3.9,20.2,True,60.0,20.4
-3.9,20.3,True,60.0,20.4
-4.0,20.3,True,62.0,20.4
-4.1,20.2,True,70.0,20.4
-4.1,20.3,True,72.0,20.4
-4.0,20.2,True,80.0,20.4
-4.0,20.2,True,80.0,20.4
-3.9,20.2,True,84.0,20.4
-4.0,20.3,True,89.0,20.4
-3.9,20.3,True,90.0,20.4
-3.9,20.4,True,100.0,20.4
-3.9,20.4,True,107.0,20.4
-3.7,20.5,True,110.0,20.4
-3.7,20.5,True,110.0,20.4
-3.8,20.5,True,113.0,20.4
-3.7,20.6,True,120.0,20.4
-3.7,20.6,True,128.0,20.4
-3.6,20.6,True,0.0,20.6
-3.5,20.6,True,4.0,20.6
-3.5,20.6,True,14.0,20.6
-3.5,20.6,True,14.0,20.6
-3.6,20.6,True,17.0,20.6
-3.7,20.6,True,22.0,20.6
-3.8,20.6,True,24.0,20.6
-3.8,20.5,True,32.0,20.6
-3.9,20.6,True,34.0,20.6
-3.9,20.5,True,39.0,20.6
